Age,Gender,Height_cm,Weight_kg,Goal,Experience,Budget,Workout_Days,Trainer,Swimming,Membership
25,Male,167,76,Weight Loss,Beginner,1500,6,Yes,No,Basic
20,Male,155,72,Weight Loss,Advanced,1000,6,Yes,No,Basic
32,Female,187,80,Weight Loss,Beginner,4000,4,No,Yes,Premium
31,Female,156,56,Muscle Gain,Beginner,3500,4,No,Yes,Premium
47,Male,174,55,General Fitness,Intermediate,3500,6,Yes,Yes,Premium
20,Male,168,55,Weight Loss,Beginner,4000,4,No,No,Premium
28,Female,172,71,General Fitness,Intermediate,1500,6,Yes,Yes,Basic
28,Female,174,79,General Fitness,Advanced,2500,4,Yes,Yes,Premium
20,Female,175,79,Weight Loss,Beginner,3500,3,No,No,Premium
47,Male,166,62,Weight Loss,Advanced,3000,6,No,No,Premium
41,Male,158,110,Muscle Gain,Beginner,1000,2,Yes,Yes,Basic
45,Male,174,93,General Fitness,Intermediate,3000,6,Yes,Yes,Premium
52,Female,171,59,Muscle Gain,Intermediate,2000,5,Yes,No,Standard
50,Male,182,58,General Fitness,Intermediate,2500,3,No,Yes,Premium
52,Male,188,86,Muscle Gain,Beginner,1500,4,No,Yes,Basic
21,Male,186,55,Weight Loss,Advanced,5000,2,Yes,Yes,Elite
48,Male,166,99,Weight Loss,Advanced,2500,4,No,No,Standard
46,Female,157,76,Weight Loss,Beginner,3500,2,Yes,Yes,Premium
18,Male,190,52,Weight Loss,Beginner,1000,4,Yes,Yes,Basic
35,Female,163,61,General Fitness,Advanced,5000,3,No,No,Premium
30,Male,156,100,Muscle Gain,Intermediate,4000,5,Yes,Yes,Premium
21,Female,171,58,Weight Loss,Beginner,2500,6,No,Yes,Standard
45,Male,167,104,Weight Loss,Beginner,5000,6,Yes,Yes,Elite
52,Male,155,75,Weight Loss,Intermediate,5000,5,Yes,No,Elite
21,Male,174,45,Muscle Gain,Intermediate,5000,4,No,No,Elite
27,Male,168,72,Weight Loss,Advanced,1000,4,Yes,Yes,Basic
55,Female,182,65,Weight Loss,Advanced,1500,3,Yes,Yes,Basic
33,Female,157,76,General Fitness,Advanced,1000,6,Yes,No,Basic
55,Female,166,71,General Fitness,Advanced,3500,3,No,No,Premium
26,Female,179,85,Weight Loss,Beginner,5000,6,Yes,Yes,Elite
52,Male,182,78,Weight Loss,Intermediate,1500,3,No,No,Basic
28,Female,184,83,General Fitness,Advanced,1000,6,No,Yes,Basic
26,Female,157,58,General Fitness,Advanced,2000,4,No,Yes,Standard
39,Male,190,78,General Fitness,Intermediate,3000,2,Yes,No,Premium
35,Male,150,87,Weight Loss,Advanced,3000,3,No,No,Premium
53,Male,157,54,General Fitness,Beginner,1000,4,Yes,No,Basic
26,Male,169,91,Weight Loss,Intermediate,2500,3,Yes,No,Standard
53,Female,189,64,Weight Loss,Beginner,2000,5,Yes,Yes,Standard
39,Female,165,79,Weight Loss,Advanced,1500,5,Yes,No,Basic
32,Male,179,89,Muscle Gain,Beginner,2500,2,Yes,No,Standard
39,Female,154,80,Muscle Gain,Advanced,4000,6,No,Yes,Premium
25,Female,161,78,Weight Loss,Beginner,4000,4,No,No,Premium
50,Male,174,69,Muscle Gain,Beginner,4000,2,Yes,No,Premium
45,Male,171,85,General Fitness,Beginner,3000,6,No,No,Premium
38,Female,168,61,Weight Loss,Intermediate,4000,3,No,No,Premium
53,Male,169,81,Weight Loss,Intermediate,3500,5,No,No,Premium
31,Female,160,55,Muscle Gain,Advanced,3500,2,Yes,No,Premium
32,Male,159,48,Weight Loss,Beginner,5000,6,Yes,No,Elite
